,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
0,12036,city_28,0.9390000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,94
1,5032,city_104,0.924,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,2,76
2,17599,city_77,0.83,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,2,65
3,19314,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,33
4,12365,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,48
5,22696,city_114,0.9259999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,2,84
6,16083,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,85
7,813,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,never,42
8,1362,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,16
9,3821,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,116
10,26316,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,14,5000-9999,Pvt Ltd,1,87
11,22524,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,>4,196
12,863,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Funded Startup,1,24
13,27743,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,26
14,29303,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,>4,42
15,8819,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,>4,2
16,5397,city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,4,<10,Early Stage Startup,1,5
17,10407,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,4,260
18,735,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,180
19,858,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,9,100-500,Pvt Ltd,2,49
20,9061,city_67,0.855,Male,Has relevent experience,no_enrollment,Phd,Humanities,12,10000+,Pvt Ltd,1,96
21,7964,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Phd,STEM,5,100-500,Pvt Ltd,2,132
22,30781,city_102,0.804,Female,Has relevent experience,Full time course,Graduate,Other,10,100-500,Pvt Ltd,1,6
23,15378,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10/49,Pvt Ltd,3,58
24,27248,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,150
25,5931,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,5,1000-4999,Pvt Ltd,1,124
26,11897,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Funded Startup,1,68
27,10606,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,4,147
28,1283,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,1,23
29,18590,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,114
30,2076,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,4
31,19130,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,1,2
32,29874,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,>4,21
33,16387,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,Other,15,100-500,Pvt Ltd,2,28
34,22536,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,>4,23
35,26020,city_97,0.925,Male,No relevent experience,Full time course,Masters,STEM,15,500-999,Public Sector,1,21
36,22989,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,Other,19,100-500,NGO,>4,35
37,10127,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,22
38,18684,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,2,74
39,19793,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,5,1000-4999,Public Sector,2,42
40,22487,city_71,0.884,Female,No relevent experience,Part time course,Graduate,STEM,13,10000+,Pvt Ltd,3,20
41,28765,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,1,10
42,28078,city_61,0.9129999999999999,Male,Has relevent experience,Part time course,Masters,STEM,8,50-99,Pvt Ltd,2,30
43,31167,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,15
44,28298,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,46
45,11459,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,2,33
46,12630,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,56
48,5522,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,10,10000+,Pvt Ltd,1,38
49,6938,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,>4,23
50,25715,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,59
51,29805,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,16,1000-4999,Public Sector,1,67
52,32283,city_45,0.89,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,>4,15
53,1525,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,2,35
54,3579,city_142,0.727,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,3,109
55,1704,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,127
56,32817,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,12,500-999,NGO,3,87
